Deutsch;Englisch;Daari;Ukrainisch;arabisch
die Rechnung;the bill;صورت حساب;рахунок;الفاتورة
die Kontonummer;the account number;شماره حساب;номер рахунку;رقم الحساب
die Bankleitzahl;Bank code;شماره مرتب سازی بانک;сортовий номер банку;رقم فرز البنك
die Kreditkarte;the creditcard;کارت اعتباری;кредитна картка;بطاقة الائتمان
das Geld;the money;پول;гроші;المال
der Euro;the euro;یورو;євро;اليورو
der Cent;the cent;سنت;цент;المائة
die Bank;the bank;بانک;банку;البنك
das Obst;the fruits;میوه;плід;الفاكهة
der Apfel;the apple;اپل;яблуко;التفاحة
die Birne;the pear;گلابی;груша;الكمثرى
die Orange;the orange;پرتقال;апельсин;البرتقال
die Traube;the grapes;انگور;виноград;العنب
die Banane;the banana;موز;банан;الموز
die Zitrone;the lemon;لیمو;лимон;الليمون
die Ananas;the pineapple;آناناس;ананас;الأناناس
die Kirsche;the cherry;گیلاس;вишня;الكرز
die Pflaume;the plum;آلو;слива;البرقوق
die Aprikose;the apricot;زردآلو;абрикос;المشمش
die Erdbeere;the strawberry;توت فرنگی;полуниця;الفراولة
die Himbeere;the raspberry;تمشک;малина;التوت
die Brombeere;the blackberry;شاه توت;ожина;بلاك بيري
das Gemüse;the vegetables;سبزی;овоч;الخضار
die Aubergine;the eggplant;بادمجان;баклажани;الباذنجان
die Paprika;the paprika;فلفل ها;перець;الفلفل
der Spinat;the spinach;اسفناج;шпинат;السبانخ
die Bohne;the bean;لوبیا;квасоля;الفول
die Erbse;the pea;نخود;горох;البازلاء
die Karotte;the carrot;هویج;морква;الجزرة
der Mais;the corn;ذرت;кукурудза;الذرة
die Kartoffel;the potato;سیب زمینی;картопля;البطاطس
die Tomate;the tomato;گوجه فرنگی;помідор;الطماطم
die Gurke;the cucumber;خیار;огірок;الخيار
die Zwiebel;the onion;پیاز;цибуля;البصل
die Zucchini;the zucchini;کدو سبز;цукіні;الكوسة
der Pilz;the mushroom;قارچ;гриб;الفطر
die Nuss;the nut;مهره;горіх;الجوز
der Salat;the salad;سالاد;салат;السلطة
gern;with pleasure;با خوشحالی;із задоволенням;بكل سرور
meiste;most;بیشتر;більшість;معظم
natürlich;of course;به طور طبیعی;природно;بشكل طبيعي
nicht;not;نه;ні;لا
noch;yet;هنوز;досі;ما زال
nur;only;فقط;тільки;فقط
zu;to;به;до;ل
auf;on;در;на;على
aus;out;خارج از;з;خارج
ab;off;دور;геть;بعيد
aber;but;اما;але;لكن
da;there;وجود دارد;там;هناك
doch;yet, but;اما;але;لكن
egal;doesnt matter;مهم نیست;не має значення;لا يهم
dabei;with it;گنجانده شده است;включені;متضمنة
satt;full;خسته;набридло;طفح الكيل
sauer;sour;ترش;кислий;حامِض
süß;sweet;شیرین;солодкий;حلو
scharf;spicy;تیز;різкий;حاد
salzig;salty;شور;солоний;مالح
billig;cheap;ارزان;дешевий;رخيص
teuer;expensive;گران قیمت;дорогий;غالي
bar;cash;خرس;ведмідь;دُبٌّ
günstig;cheap;ارزان;дешевий;رخيص
frisch;fresh;تازه;свіжий;طازج
Die Kinder essen kein Gemüse.;The children don`t eat vegetables.;بچه ها سبزی نمی خورند;Діти не їдять овочів.;الأطفال لا يأكلون الخضار.
Die Frau backt einen Kuchen.;The woman bakes a cake.;زن کیک می پزد.;Жінка пече пиріг.;المرأة تخبز كعكة.
Der Mann trinkt ein Bier aus der Flasche.;The man drinks beer out of the bottle.;مرد از بطری آبجو می نوشد.;Чоловік п'є пиво з пляшки.;الرجل يشرب بيرة من الزجاجة.
Er frühstückt immer morgens.;He eats breakfast every morning.;او همیشه صبح ها صبحانه می خورد.;Він завжди снідає вранці.;هو دائما يتناول وجبة الإفطار في الصباح.
Sie kocht für die Kinder.;She cooks for her children.;برای بچه ها آشپزی می کند.;Вона готує для дітей.;إنها تطبخ للأطفال.
Du bestellst einen Tee im Cafe.;You order a tea in the cafe.;شما در کافه چای سفارش می دهید.;Ви замовляєте чай в кафе.;أنت تطلب الشاي في المقهى.
Das Kind kauft Süßigkeiten im Supermarkt ein.;The child buys sweets in the supermarket.;کودک در سوپرمارکت شیرینی می خرد.;Дитина купує солодощі в супермаркеті.;يشتري الطفل الحلويات من السوبر ماركت.
Zwei Kilo Paprika kosten sechs Euro.;Two kilogramm of paprika cost six euros.;دو کیلو فلفل شش یورو قیمت دارد.;Два кілограми перцю коштують шість євро.;كيلوغرامان من الفلفل يكلفان ستة يورو.
Die Fleischerei verkauft Fleisch.;the butcher`s sells meat.;قصابی گوشت می فروشد.;М'ясний магазин продає м'ясо.;محل الجزارة يبيع اللحوم.
Er kauft eine Zwiebel für das Essen.;He buys an onion for the meal.;برای شام یک پیاز می خرد.;На вечерю купує цибулю.;يشتري بصلة لتناول العشاء.
Ich zahle in bar.;I pay in cash.;من نقدا پرداخت میکنم;Я плачу готівкою.;أنا أدفع نقدا.
Der Bäcker biete Brötchen für 30 Cent an.;The baker offers rolls for 30 cent.;نانوا رول هایی را به قیمت 30 سنت ارائه می دهد.;Пекар пропонує булочки по 30 центів.;يقدم الخباز لفات بسعر 30 سنتًا.
ich bitte sie um eine Tüte.;I ask you for a bag please.;از او کیف می خواهم.;Прошу в неї сумку.;أطلب منها حقيبة.
Geben sie mir bitte ein Kilo Tomaten.;Please give me one kilogram of tomatoes please.;لطفا یک کیلو گوجه به من بدهید.;Дайте, будь ласка, кілограм помідорів.;من فضلك أعطني كيلو من الطماطم.
Ich nehme eine Gurke bitte.;I take one cucumber please.;من یک خیار دارم لطفا;Я візьму огірок, будь ласка.;سآخذ خيارة من فضلك.
Der Supermarkt schließt um zwanzig Uhr.;The supermarket closes at 8 o'clock pm.;سوپرمارکت ساعت هشت بسته می شود.;Супермаркет зачиняється о восьмій.;السوبر ماركت يغلق الساعة الثامنة.
Das Geschäft öffnet um acht Uhr morgens.;The store opens at 8 o'clock in the morning.;ساعت هشت صبح مغازه باز می شود.;Магазин відкривається о восьмій ранку.;المحل يفتح الساعة الثامنة صباحا.
Kann ich bitte zehn Euro haben.;Can i have 10 euros please.;آیا می توانم ده یورو داشته باشم لطفا؟;Чи можу я отримати десять євро, будь ласка.;هل يمكنني الحصول على عشرة يورو من فضلك.
Ich möchte keinen Zucker in meinen Kaffee bitte.;I don`t want sugar in my coffee please.;من شکر نمی خواهم در قهوه ام لطفا.;Будь ласка, я не хочу цукру в своїй каві.;لا أريد أي سكر في قهوتي من فضلك.
Beschreiben sie bitte das Restaurant.;Please describe the restaurant.;لطفا در مورد رستوران توضیح دهید.;Опишіть ресторан.;يرجى وصف المطعم.
Die Kartoffeln verfaulen.;The potatoes rot.;سیب زمینی ها در حال پوسیدن هستند.;Картопля гниє.;البطاطس تتعفن.
Der Kunde zahlt an der Kasse.;The customer pays at the cashier.;مشتری در صندوق پرداخت می کند.;Клієнт оплачує на касі.;يدفع العميل عند الخروج.
Bekomme ich noch einen Kaffee bitte?;Can I get one more coffee please.;میشه لطفا یه قهوه دیگه بخورم؟;Можна мені ще кави, будь ласка?;هل أستطيع الحصول على قهوة أخرى من فضلك؟
Ein bisschen Salz reicht.;A little bit of salt is enough.;کمی نمک کافی است.;Досить трохи солі.;قليل من الملح يكفي.
Schneiden sie die Pizza bitte in acht Teile.;Please cut the pizza into 8 parts.;لطفا پیتزا را به هشت قسمت برش دهید.;Будь ласка, розріжте піцу на вісім частин.;يرجى قطع البيتزا إلى ثماني قطع.
Wählen sie bitte aus.;Choose please.;لطفا انتخاب کنید.;Будь ласка, виберіть.;الرجاء التحديد.
Wollen sie mehr Zucker?;Do you want more sugar.;قند بیشتری می خواهید؟;Хочеш ще цукру?;هل تريد المزيد من السكر؟
Haben sie eine Tüte dabei?;You have a bag with you?;کیف همراهت هست؟;У вас є сумка з собою?;هل لديك حقيبة معك؟
Der Supermarkt ist schon zu.;The supermarket is already closed.;سوپرمارکت در حال حاضر بسته است.;Супермаркет уже закритий.;السوبر ماركت مغلق بالفعل.
Das Kind mag Süßigkeiten.;The child likes sweets.;کودک شیرینی دوست دارد.;Дитина любить солодке.;الطفل يحب الحلويات .
Obst ist gut für Kinder.;Fruits are good for children.;میوه برای کودکان مفید است.;Фрукти корисні для дітей.;الفاكهة جيدة للأطفال.
Die Frauen essen Äpfel.;The women eat apples.;زن ها سیب می خورند;Жінки їдять яблука.;النساء يأكلن التفاح.
Ich nehme zwei Birnen bitte.;I take two pears please.;دو تا گلابی میبرم لطفا;Я візьму, будь ласка, дві груші.;سآخذ اثنين من الكمثرى من فضلك.
Bekomme ich noch eine Orange bitte.;Can I get another orange please.;میشه لطفا یه پرتقال دیگه بگیرم؟;Чи можу я отримати ще один апельсин?;هل يمكنني الحصول على برتقالة أخرى من فضلك؟
Wein ist aus Trauben.;Vine is made of grapes.;شراب از انگور درست می شود.;Вино виготовляється з винограду.;النبيذ مصنوع من العنب.
Die Banane kommt nicht aus Deutschland.;The banana is not from Germany.;موز از آلمان نمی آید.;Банан родом не з Німеччини.;الموز لا يأتي من ألمانيا.
Die Zitrone ist sehr sauer.;The lemon is very sour.;لیمو خیلی ترش است.;Лимон дуже кислий.;الليمون حامض جداً.
Die Frau schneidet die Ananas in vier Teile.;The woman cuts the pineapple in four parts.;زن آناناس را چهار قسمت می کند.;Жінка розрізає ананас на чотири частини.;تقطع المرأة الأناناس إلى أربعة أجزاء.
Die Kirschen sind heute sehr günstig.;The cherry are very cheap today.;گیلاس امروزه بسیار ارزان است.;Черешня сьогодні дуже дешева.;الكرز رخيص جدًا اليوم.
Ich habe nur Pflaumen in meiner Tüte.;I only have plums in my bag.;من فقط آلو در کیفم دارم.;У мене в сумці тільки сливи.;ليس لدي سوى الخوخ في حقيبتي.
Es gibt heute keine Aprikosen im Supermarkt.;The are no apricots in the supermarket today.;امروز هیچ زردآلو در سوپرمارکت وجود ندارد.;Сьогодні в супермаркеті немає абрикосів.;لا يوجد مشمش في السوبر ماركت اليوم.
Die Erdbeeren sind frisch.;The strawberries are fresh.;توت فرنگی تازه است.;Полуниця свіжа.;الفراولة طازجة.
Himbeeren sind sehr süß.;Raspberries are very sweet.;تمشک بسیار شیرین است.;Малина дуже солодка.;التوت حلو جدا.
Brombeeren sind sauer.;blackberries are sour.;شاه توت ترش است.;Ожина кисла.;العليق حامض.
Du hast noch Hunger.;You are still hungry.;تو هنوز گرسنه ای;Ти все ще голодний.;أنت لا تزال جائعا.
Wer Durst hat trinkt Wasser.;Who has thirst drinks water.;هر کس تشنه است آب می نوشد.;Хто відчуває спрагу, п’є воду.;كل من يشعر بالعطش يشرب الماء.
Zum Frühstück gibt es heute Brötchen.;There are rolls for breakfast.;امروز رول هایی برای صبحانه وجود دارد.;Сьогодні на сніданок є булочки.;هناك لفات لتناول الافطار اليوم.
Ich esse Nudeln mit Tomatensoße zum Mittagessen.;I eat noodles with tomato sauce for lunch.;ناهار پاستا با سس گوجه میخورم.;Я їм макарони з томатним соусом на обід.;أتناول المعكرونة مع صلصة الطماطم على الغداء.
In Deutschland essen wir Brot zum Abendessen.;In Germany we eat bread for diner.;در آلمان برای شام نان می خوریم.;У Німеччині ми їмо хліб на вечерю.;في ألمانيا نأكل الخبز على العشاء.
Ich möchte ein Glas Bier bitte.;I want one glass of beer please.;من یک لیوان آبجو می خواهم لطفا.;Я хотів би склянку пива, будь ласка.;أريد كأساً من البيرة من فضلك.
Trinken sie eine ganze Flasche?;Do you drink one full bottle.;آیا یک بطری کامل می نوشید؟;Ви п'єте цілу пляшку?;هل تشرب زجاجة كاملة؟
Das Geschirr ist sehr teuer.;The tableware is very expensive.;ظروف بسیار گران هستند.;Посуд дуже дорогий.;الأطباق مكلفة للغاية.
Das Kind trinkt eine Tasse Milch.;The child drinks one cup of milk.;کودک یک فنجان شیر می نوشد.;Дитина випиває чашку молока.;يشرب الطفل كوبًا من الحليب.
Geben sie mir bitte eine Untertasse für meinen Tee.;Give me a saucer for my tea please.;لطفا یک نعلبکی برای چایم به من بدهید.;Будь ласка, дайте мені блюдце для чаю.;من فضلك أعطني صحنًا لشاي.
Ich habe noch kein Fleisch auf meinem Teller.;I dont have meat on my plate yet.;من هنوز در بشقابم گوشتی ندارم.;У мене на тарілці ще немає м’яса.;ليس لدي أي لحم على طبقي بعد.
Sie isst mit Besteck.;She eats with silverware.;او با کارد و چنگال غذا می خورد.;Вона їсть столовими приборами.;إنها تأكل مع أدوات المائدة.
Die Frau schneidet das Fleisch mit einem Messer.;The woman cuts the meat with a knife.;زن گوشت را با چاقو می کند.;Жінка ріже м'ясо ножем.;تقطع المرأة اللحم بالسكين.
Wir essen unsere Kartoffeln mit der Gabel.;We eat our potatoes with a fork.;سیب زمینی هایمان را با چنگال می خوریم.;Їмо нашу картоплю виделкою.;نحن نأكل البطاطس بالشوكة.
Ich esse die Soße mit dem Löffel.;I eat the sauce with the spoon.;سس رو با قاشق میخورم.;Я їм соус ложкою.;أنا آكل الصلصة بالملعقة.
Das Essen in dem Restaurant ist sehr gut.;The food in the restaurant is very good.;غذای رستوران خیلی خوبه.;Їжа в ресторані дуже хороша.;الطعام في المطعم جيد جدا.
Die Soße hat keinen Geschmack.;The sauce has no taste.;سس مزه نداره;Соус не має смаку.;الصلصة ليس لها طعم.
Geben sie mir noch eine Tüte.;Give me one more bag please.;یه کیف دیگه بهم بده;Дай ще одну сумку.;أعطني حقيبة أخرى.
Ich kaufe mir Zigaretten am Kiosk.;I buy my cigarettes at the kiosk.;از کیوسک سیگار می خرم.;Купую сигарети в кіоску.;أشتري السجائر من الكشك.
Geben sie mir bitte ihr Feuerzeug.;Give me your lighter please.;لطفا فندک خود را به من بدهید;Будь ласка, дайте мені вашу запальничку.;من فضلك أعطني أخف وزنا الخاص بك.
Die Streichhölzer kosten nichts.;The matches cost nothing.;مسابقات هیچ هزینه ای ندارد.;Сірники нічого не коштують.;المباريات لم تكلف شيئا.
Der Kellner kommt mit der Speisekarte;The waiter comes with the menu.;پیشخدمت با منو می آید;Заходить офіціант з меню;يأتي النادل مع القائمة
Der Verkäufer gibt dem Kind ein bisschen Schokolade.;The seller gives the child a little bit of chocolate.;فروشنده مقداری شکلات به کودک می دهد.;Продавець дає дитині шоколадку.;البائع يعطي الطفل بعض الشوكولاتة.
Der Kunde zahlt an der Kasse.;The customer pays at the cashier.;مشتری در صندوق پرداخت می کند.;Клієнт оплачує на касі.;يدفع العميل عند الخروج.
Haben sie noch einen Wunsch?;Do you have another wish?;چیز دیگری دوست دارید؟;Вам ще щось подобається?;أي شيء آخر يعجبك؟
Das Restaurant kauft die Lebensmittel im Handel.;The restaurant buys the foods in the wholesale.;رستوران غذا را به صورت تجاری خریداری می کند.;Ресторан купує їжу комерційно.;يشتري المطعم الطعام تجاريًا.
Das ist kein guter Kauf.;That is not a good purchase.;این خرید خوبی نیست.;Це не вдала покупка.;هذه ليست شراء جيدة.
Deine Ernährung ist schlecht.;Your nutrition is bad.;رژیمت بد است;Ваша дієта погана.;نظامك الغذائي سيء.
Ich esse drei Mahlzeiten am Tag.;I eat three meals every day.;روزی سه وعده غذا می خورم.;Харчуюсь тричі на день.;أتناول ثلاث وجبات في اليوم.
Der Service im Restaurant ist sehr schlecht.;The service in the restaurant is very bad.;سرویس دهی در رستوران بسیار بد است.;Обслуговування в ресторані дуже погане.;الخدمة في المطعم سيئة للغاية.
Trinken sie mindestens zwei Liter am Tag.;Drink at least two liter every day.;حداقل دو لیتر در روز بنوشید.;Випивайте не менше двох літрів на день.;شرب ما لا يقل عن لترين يوميا.
Ich möchte meinen Kaffee mit viel Zucker.;I want my coffee with a lot of sugar.;من قهوه ام را با شکر زیاد می خواهم.;Я хочу свою каву з великою кількістю цукру.;أريد قهوتي مع الكثير من السكر.
Ist genug Salz an der Soße?;Is there enough salt in the sauce?;آیا نمک کافی در سس وجود دارد؟;Чи достатньо солі в соусі?;هل هناك ما يكفي من الملح في الصلصة؟
Ich nehme genau hundert gramm Nüsse.;I take exactly hundred gramms of nuts.;من دقیقا صد گرم آجیل می گیرم.;Я беру рівно сто грамів горіхів.;أتناول بالضبط مائة جرام من المكسرات.
Sehr viele Kinder mögen Schokolade.;Many children like chocolate.;خیلی از بچه ها شکلات دوست دارند.;Багато дітей люблять шоколад.;الكثير من الأطفال يحبون الشوكولاتة.
Ich möchte ungefähr ein Pfund Spinat.;I want around one pound of spinach.;من حدود یک کیلو اسفناج می خواهم.;Я хочу приблизно півкіло шпинату.;أريد حوالي رطل من السبانخ.
Ich möchte nur wenig Zucker.;I want just a little bit of sugar.;من فقط کمی شکر می خواهم.;Я просто хочу трохи цукру.;أريد فقط القليل من السكر.
Ich spreche ein bisschen deutsch.;I speak a little bit of German.;من کمی آلمانی صحبت می کنم.;Я трохи розмовляю німецькою.;أنا أتكلم الألمانية قليلا.
Das ist zu wenig Milch.;This is too little milk.;شیر خیلی کمه;Це занадто мало молока.;هذا قليل جدًا من الحليب.
Er trinkt zu viel Bier.;He drinks too much beer.;او بیش از حد آبجو می نوشد.;Він п'є занадто багато пива.;يشرب الكثير من البيرة.
Geben sie mir etwas Sahne bitte.;Give me some cream please.;لطفا کمی کرم به من بدهید;Дайте мені крему, будь ласка.;أعطني بعض الكريم من فضلك.
Ich esse nichts im Restaurant.;I eat nothing in the restaurant.;من در رستوران چیزی نمی خورم.;Я нічого не їм у ресторані.;أنا لا آكل أي شيء في المطعم.
Du isst keine Pommes Frites.;You dont eat french fries.;شما سیب زمینی سرخ کرده نمی خورید.;Ви не їсте картоплю фрі.;أنت لا تأكل البطاطس المقلية.
Er möchte mehr Honig bitte.;He wants more honey please.;او عسل بیشتری می خواهد لطفا;Він хоче більше меду, будь ласка.;يريد المزيد من العسل من فضلك.
Das sind fast zwei Kilo Tomaten.;These are almost two Kilogramms of Tomatoes.;یعنی تقریبا دو کیلو گوجه فرنگی.;Це майже два кілограми помідорів.;هذا ما يقرب من كيلوغرامين من الطماطم.
Wieviele Gurken möchten sie?;How many cucumbers do you want?;چند تا خیار میخوای؟;Скільки огірків ти хочеш?;كم عدد الخيار الذي تريده؟
Die Tomaten kosten drei Euro je Kilo.;The tomatoes cost three euros per Kilogramm.;قیمت هر کیلو گوجه فرنگی سه یورو است.;Помідори коштують три євро за кілограм.;ويبلغ سعر الطماطم ثلاثة يورو للكيلو الواحد.
Geben sie etwa dreihundert Gramm Mehl an die Soße.;Add about three hundred Gramms of flour to the sauce.;حدود سیصد گرم آرد به سس اضافه کنید.;Додайте в соус близько трьохсот грамів борошна.;أضف حوالي ثلاثمائة جرام من الدقيق إلى الصلصة.
Pro Flasche kostet der Wein acht Euro.;Each bottle of vine costs eight euros.;قیمت شراب در هر بطری هشت یورو است.;Вино коштує вісім євро за пляшку.;النبيذ يكلف ثمانية يورو لكل زجاجة.
Zweihundert Gramm Fleisch bitte.;Two hundred gramms of meat please.;دویست گرم گوشت لطفا;Двісті грамів м'яса, будь ласка.;مائتي جرام من اللحم من فضلك.
Fünfhundert Gramm sind ein Pfund.;Five hundred gramms are one pound.;پانصد گرم یک پوند است.;П'ятсот грамів - це фунт.;خمسمائة جرام هو رطل.
Zwei Pfund sind ein Kilogramm.;Two pounds are one Kilogramm.;دو پوند یک کیلوگرم است.;Два фунти - це один кілограм.;رطلان يساوي كيلوجرامًا واحدًا.
Wasser kocht bei hundert Grad Celsius.;Water boils at a hundred degree celsius.;آب در صد درجه سانتیگراد می جوشد.;Вода кипить при ста градусах Цельсія.;يغلي الماء عند درجة حرارة مائة درجة مئوية.
tausend Mililiter sind ein Liter.;a thousand mililiter are one liter.;هزار میلی لیتر برابر با یک لیتر است.;Тисяча мілілітрів дорівнює одному літру.;ألف ملليلتر يساوي لتر واحد.
Wir trinken zwei Liter Wasser am Tag.;We drink two liters of water every day.;روزی دو لیتر آب میخوریم.;Випиваємо два літри води на день.;نحن نشرب لترين من الماء يوميا.
Der Mann trinkt einen halben Liter Wein.;The man drinks half a liter of vine.;مرد نیم لیتر شراب می نوشد.;Чоловік випиває півлітра вина.;يشرب الرجل نصف لتر من النبيذ.
Der Fleischer verkauft die Wurst in der Dose.;The butcher`s sells sausage out of the can.;قصاب سوسیس را در قوطی می فروشد.;М'ясник продає ковбасу в бідоні.;يبيع الجزار النقانق في علبة.
Zwei Scheiben Wurst bitte.;Two slices of sausage please.;لطفا دو تکه سوسیس;Два шматочки ковбаси, будь ласка.;شريحتين من النقانق من فضلك.
Möchtest du Butter auf dein Brot?;You want butter on your bread?;آیا دوست دارید روی نان خود کره داشته باشید؟;Бажаєте масло на свій хліб?;هل تريد الزبدة على الخبز الخاص بك؟
Der Käse kommt aus Deutschland.;The cheese is from Germany.;پنیر از آلمان می آید.;Сир родом з Німеччини.;الجبن يأتي من ألمانيا.
Ich schneide die Wurst in Scheiben.;I cut the sausage into slices.;سوسیس را ورقه ای برش دادم.;Ковбасу нарізаю скибочками.;لقد قطعت النقانق إلى شرائح.
Die Frau kocht ein Ei für das Kind.;The woman cooks an egg for the child.;زن برای بچه تخم می پزد.;Жінка варить яйце для дитини.;المرأة تطبخ بيضة للطفل.
Geben sie ein bisschen Mehl in die Soße.;Add a little bit of flour to the sauce.;کمی آرد به سس اضافه کنید.;Додайте в соус трохи борошна.;أضف القليل من الدقيق إلى الصلصة.
Reichst du mir bitte den Pfeffer.;Can you pass me the pepper please.;میشه لطفا فلفل را به من بدهید؟;Передайте мені, будь ласка, перець?;هل يمكنك أن تمرر لي الفلفل من فضلك؟
Nur ein bisschen Salz bitte.;Just a little bit of salt please.;فقط کمی نمک لطفا;Тільки трохи солі, будь ласка.;فقط القليل من الملح من فضلك.
Ich möchte ein bisschen Zucker in meinen Tee bitte.;I want a little bit of sugar in my tea please.;لطفا کمی شکر در چایم میل دارم.;Я хотів би трохи цукру в свій чай, будь ласка.;أريد القليل من السكر في الشاي من فضلك.
Sie kocht mit viel Öl.;She cooks with a lot of oil.;با روغن زیاد آشپزی می کند.;Вона готує з великою кількістю олії.;إنها تطبخ بالكثير من الزيت.
Es ist viel Essig am Salat.;There is a lot of vinegar in the salad.;مقدار زیادی سرکه روی سالاد وجود دارد.;У салаті багато оцту.;هناك الكثير من الخل على السلطة.
Die Nudeln kochen in zwei Minuten.;The noodles cook in two minutes.;رشته فرنگی در دو دقیقه پخته می شود.;Локшина готується за дві хвилини.;تُطهى النودلز في دقيقتين.
Ich nehme noch einen Teller Reis bitte.;I take one more plate with rice please.;من یک بشقاب دیگر برنج می خورم، لطفا.;Я візьму ще одну тарілку рису, будь ласка.;سآخذ طبق آخر من الأرز، من فضلك.
Der Fisch ist sehr frisch.;The fish is very fresh.;ماهی بسیار تازه است.;Риба дуже свіжа.;السمك طازج جدا.
Ich esse kein Fleisch.;I dont eat meat.;من گوشت نمیخورم;Я не їм м'яса.;أنا لا آكل اللحوم.
Der Kunde kauft Geflügel.;The customer buys poultry.;مشتری مرغ می خرد.;Клієнт купує птицю.;يشتري العميل الدواجن.
Schneide das Brot bitte in Scheiben.;Please cut the bread in slices.;لطفا نان را برش بزنید.;Будь ласка, наріжте хліб скибочками.;من فضلك قومي بتقطيع الخبز إلى شرائح.
Ich schneide das Brötchen in zwei Hälften.;I cut the roll into two parts.;نان را از وسط نصف کردم.;Розрізаю булочку навпіл.;لقد قطعت الكعكة إلى النصف.
Der Kuchen im cafe ist sehr teuer.;The cake in the cafe is very expensive.;کیک در کافه بسیار گران است.;Торт в кафе дуже дорогий.;الكعكة في المقهى مكلفة للغاية.
Da ist zu viel Salz an der Suppe.;There is too much salt in the soup.;نمک زیادی در سوپ وجود دارد.;У супі забагато солі.;هناك الكثير من الملح في الحساء.
Mein Kind bekommt keine Pommes Frites.;My child doesnt get any french fries.;فرزند من سیب زمینی سرخ کرده نمی گیرد.;Моя дитина не отримає картоплю фрі.;طفلي لن يحصل على البطاطس المقلية.
Kinder mögen Schokolade.;Children like chocolate.;بچه ها شکلات دوست دارند.;Діти люблять шоколад.;الأطفال يحبون الشوكولاتة.
Geben sie mir noch ein bisschen Eis bitte.;Give me a little bit of icecream please.;لطفا یک بستنی دیگر به من بدهید.;Дайте мені ще морозива, будь ласка.;أعطني المزيد من الآيس كريم، من فضلك.
Ich esse ein Brötchen mit Honig.;I eat a roll with honey.;من نان با عسل می خورم.;Я їм булочку з медом.;أنا آكل كعكة مع العسل.
Der Schinken kostet nur fünf Euro das Kilo.;The ham costs five euros for one kilogramm.;قیمت ژامبون فقط پنج یورو در هر کیلوگرم است.;Шинка коштує лише п’ять євро за кілограм.;سعر لحم الخنزير خمسة يورو فقط للكيلو.
Die Marmelade ist aus Erdbeeren.;The jam is made of strawberries.;مربا از توت فرنگی درست می شود.;З полуниці варять варення.;المربى مصنوع من الفراولة.
Ich möchte einen Kaffee mit Sahne bitte.;I want one coffee with cream please.;من یک قهوه با خامه می خواهم لطفا.;Я хочу каву з вершками, будь ласка.;أريد قهوة مع الكريمة من فضلك.
Der Mann kocht eine Soße aus Zwiebeln und Tomaten.;The man cooks a sauce out of onions and tomatoes.;مرد از پیاز و گوجه فرنگی سس می پزد.;Чоловік готує соус з цибулі та помідорів.;الرجل يطبخ صلصة من البصل والطماطم.
Das Schnitzel kostet zwölf Euro im Restaurant.;The Schnitzel costs 12 Euros in the restaurant.;قیمت شنیسل در رستوران دوازده یورو است.;У ресторані шніцель коштує дванадцять євро.;تبلغ تكلفة شنيتزل في المطعم اثني عشر يورو.
Die Lebensmittel im Supermarkt sind sehr günstig.;The foods in the supermarket are very cheap.;غذای سوپرمارکت بسیار ارزان است.;Їжа в супермаркеті дуже дешева.;الطعام في السوبر ماركت رخيص جدًا.
Tee Kaffee und Saft sind Getränke.;Tea, coffee and juice are drinks.;چای، قهوه و آبمیوه نوشیدنی هستند.;Чай, кава та сік – це напої.;الشاي والقهوة والعصير من المشروبات.
Ich trinke nur Bier.;I only drink beer.;من فقط آبجو میخورم;Я п'ю тільки пиво.;أنا أشرب البيرة فقط.
Ich mag keinen Wein.;I dont like vine.;من شراب دوست ندارم;Я не люблю вина.;أنا لا أحب النبيذ.
Ich möchte meinen Kaffee mit Milch und Zucker bitte.;I want my coffee with milk and sugar please.;من قهوه ام را با شیر و شکر می خواهم لطفا.;Я хочу мою каву з молоком і цукром, будь ласка.;أريد قهوتي مع الحليب والسكر من فضلك.
Ich nehme ein bisschen Zucker in meinen Tee bitte.;I take a little bit of sugar in my tea please.;لطفا کمی شکر در چایم بریزم;Будь ласка, я посиплю трохи цукру в чай.;سأضع القليل من السكر في الشاي من فضلك.
Das Kind mag Milch.;The child likes milk.;کودک شیر دوست دارد.;Дитина любить молоко.;الطفل يحب الحليب.
Der Saft ist sehr süß.;The juice is very sweet.;آب میوه بسیار شیرین است.;Сік дуже солодкий.;العصير حلو جدا.
Ich trinke Mineralwasser aus der Flasche.;I drink mineral water out of the bottle.;من آب معدنی بطری میخورم;Я п'ю бутильовану мінеральну воду.;أنا أشرب المياه المعدنية المعبأة في زجاجات.
Auf dem Markt gibt es frisches Gemüse.;There are fresh vegetables on the market.;سبزیجات تازه در بازار وجود دارد.;На ринку є свіжі овочі.;هناك خضار طازجة في السوق.
Der Supermarkt verkauft gutes Essen.;The supermarket sells good food.;سوپرمارکت غذاهای خوب می فروشد.;У супермаркеті продається хороша їжа.;السوبر ماركت يبيع طعامًا جيدًا.
Am Kiosk gibt es kein Gemüse.;There kiosk does not have vegetables.;هیچ سبزی در کیوسک وجود ندارد.;У кіоску овочів немає.;لا توجد خضروات في الكشك.
Ich kaufe ein Brot in der Bäckerei.;I buy one bread in the bakery.;من از نانوایی نان می خرم.;Я купую хліб у пекарні.;أشتري بعض الخبز من المخبز.
Die Fleischerei verkauft Fleisch.;The butcher's sells meat.;قصابی گوشت می فروشد.;М'ясний магазин продає м'ясо.;محل الجزارة يبيع اللحوم.
